Date	Pilar	RioCuarto	MarcosJuarez	LaFlorida
1/1/1981	0	0	0	0
1/2/1981	0	0	0	0
1/3/1981	0	0	0	0
1/4/1981	0	0	0	0
1/5/1981	2.722	1.306	5.644	4.166
1/6/1981	14.5	12.431	45.818	11.711
1/7/1981	0	0	0	0
1/8/1981	0	0	0	0
1/9/1981	15.281	43.74	1.519	11.711
1/10/1981	23.828	31.064	1.002	30.069
1/11/1981	3.44	12.613	14.906	7.39
1/12/1981	5.941	0	0	2.006
1/13/1981	0	0	0	0
1/14/1981	0	0	0	1.037
1/15/1981	4.446	4.71	0	9.928
1/16/1981	31.308	0.458	6.526	31.218
1/17/1981	0	0	0	0
1/18/1981	0	0	0.72	0.235
1/19/1981	6.712	65.068	38.798	21.528
1/20/1981	4.442	13.101	0	11.432
1/21/1981	0	2.774	0	0.245
1/22/1981	1.553	8.456	0	2.267
1/23/1981	0.095	6.198	0	6.089
1/24/1981	0.174	21.476	0.388	14.503
1/25/1981	14.432	13.342	21.589	2.196
1/26/1981	19.132	0	7.092	0
1/27/1981	21.391	0	19.865	1.194
1/28/1981	42.494	3.605	17.449	22.52
1/29/1981	0.058	0	0	0
1/30/1981	1.048	0	4.287	0
1/31/1981	33.616	0	38.55	13.963
2/1/1981	74.631	0.708	3.644	0
2/2/1981	0	0	0	0
2/3/1981	15.022	6.923	26.715	23.858
2/4/1981	18.389	2.853	1.423	23.858
2/5/1981	0	0	0	0
2/6/1981	0	0	0	0
2/7/1981	0	18.6	1.572	0
2/8/1981	18.485	2.061	25.833	6.768
2/9/1981	0	0	0	0
2/10/1981	0	1.686	0.66	0
2/11/1981	4.273	8.899	17.54	0
2/12/1981	0	0.678	17.22	16.327
2/13/1981	0	0	0	0
2/14/1981	0	5.956	0	0
2/15/1981	0	0	0	0
2/16/1981	0	0	0	0
2/17/1981	0	0	0	0
2/18/1981	0	0	0	0
2/19/1981	0	0	0	0
2/20/1981	0	0	1.889	0
2/21/1981	0.268	0	0	0
2/22/1981	0	0	0.43	0
2/23/1981	0	0	0	0
2/24/1981	0	0	0	0
2/25/1981	0	0	0.53	0
2/26/1981	0	1.194	0.445	0
2/27/1981	0	0.679	0	0
2/28/1981	4.582	2.006	1.451	6.553
3/1/1981	11.018	9.004	24.91	4.078
3/2/1981	0.121	11.246	6.817	0
3/3/1981	13.388	1.394	0	29.823
3/4/1981	0	0	0	0
3/5/1981	0	1.209	0	0
3/6/1981	14.311	10.519	29.825	7.214
3/7/1981	4.092	0	0	1.159
3/8/1981	0	0	0	0
3/9/1981	0	0	0	0
3/10/1981	0	26.496	0	5.078
3/11/1981	1.092	13.813	10.825	25.021
3/12/1981	0	4.068	0	0
3/13/1981	9.449	0	1.925	13.313
3/14/1981	44.919	14.822	11.119	2.177
3/15/1981	0	0	0	0
3/16/1981	0	0	0	0
3/17/1981	0	0	0	0
3/18/1981	0	4.428	5.096	0
3/19/1981	9.11	0	0	4.337
3/20/1981	0	0	0	0
3/21/1981	0	0	0	0
3/22/1981	0	2.015	0	0
3/23/1981	3.654	1.936	3.21	0
3/24/1981	0	0	0	0
3/25/1981	0	0	0	0
3/26/1981	0	0	0	0
3/27/1981	0	3.624	0	5.972
3/28/1981	0	18.072	16.029	19.88
3/29/1981	0	0	0	0
3/30/1981	0	0	0	0
3/31/1981	0	0	0	0
4/1/1981	6.611	12.236	0	0
4/2/1981	0	0	0	0
4/3/1981	0	0	0	0
4/4/1981	0	0	0	0
4/5/1981	0	4.221	5.338	1.069
4/6/1981	0	11.674	5.154	13.89
4/7/1981	0	0	0	0
4/8/1981	55.673	0	14.034	1.084
4/9/1981	0	24.961	10.244	15.281
4/10/1981	69.65	17.786	35.48	19.536
4/11/1981	0	0	0	0
4/12/1981	0	0	0	0
4/13/1981	1.023	0	0	0.759
4/14/1981	0	0	0	0.312
4/15/1981	0	0	0	0
4/16/1981	0	0	0	0
4/17/1981	0	0	0	0
4/18/1981	0	0	0	0
4/19/1981	0	0	0	0
4/20/1981	4.186	14.874	0	0
4/21/1981	9.588	17.23	52.395	7.532
4/22/1981	4.313	4.886	5.113	3.178
4/23/1981	0	0	0	0
4/24/1981	10.137	0	0	0.067
4/25/1981	0	0	2.788	0
4/26/1981	0	0	0	0
4/27/1981	0	10.302	11.501	2.473
4/28/1981	0	0.608	0.2	1.597
4/29/1981	0	0	0	0
4/30/1981	0	0	0	0
5/1/1981	0	0	0	0
5/2/1981	0	2.363	2.747	0
5/3/1981	3.004	4.065	4.411	2.303
5/4/1981	0	0	2.545	0
5/5/1981	0	0	0	0
5/6/1981	0	0	0	0
5/7/1981	0	0	0	0
5/8/1981	0.378	0	0	0
5/9/1981	0	1.785	6.731	4.263
5/10/1981	0	0	0	0
5/11/1981	0	0	0	0
5/12/1981	16.009	0.409	12.323	0
5/13/1981	5.113	3.533	19.711	5.048
5/14/1981	0	0	0	0
5/15/1981	0	0	0	0
5/16/1981	0.591	0	1.789	0
5/17/1981	0	0.575	0.847	0
5/18/1981	0.152	0	6.275	0.013
5/19/1981	7.426	1.248	1.727	3.383
5/20/1981	0	0	0	0
5/21/1981	0	0	0	0
5/22/1981	0	0	0	0
5/23/1981	0	0	0	0
5/24/1981	0	0	0	0
5/25/1981	0	0	0	0
5/26/1981	0.205	0.069	0	0.159
5/27/1981	0	0	0	0
5/28/1981	0	1.334	0	0.447
5/29/1981	0	0	0	0
5/30/1981	0	0	0	0
5/31/1981	0	0	0	0
6/1/1981	0	0	0	0
6/2/1981	0.326	2.353	0	0.057
6/3/1981	0	0	0	0.598
6/4/1981	0	0	0.083	0.014
6/5/1981	0	0	0	1.849
6/6/1981	0	0	0	0.492
6/7/1981	0	1.16	0	0
6/8/1981	0.052	0	0	0.12
6/9/1981	0	0	0	0
6/10/1981	2.717	0	0.652	0
6/11/1981	0	0	0	0
6/12/1981	3.276	0	0	0
6/13/1981	0	0	0	0
6/14/1981	0	0	0	0
6/15/1981	0	0	0	0
6/16/1981	0	0	0	0
6/17/1981	0	0	0	0
6/18/1981	0	0	0	0
6/19/1981	0	0	0	0
6/20/1981	0	0.338	0	0
6/21/1981	0	0.919	0.406	0
6/22/1981	0.124	0	2.847	0
6/23/1981	0	0.032	4.167	0
6/24/1981	0	0.029	0	0
6/25/1981	0.884	0.986	0.254	0.086
6/26/1981	0	0	0	0
6/27/1981	0	0	0	0
6/28/1981	0	0	0	0
6/29/1981	0	0	0	0
6/30/1981	0	0.903	1.008	0.007
7/1/1981	0	0	3.724	0.054
7/2/1981	0	0	0	0
7/3/1981	0	0	0	0
7/4/1981	0	0	0	0
7/5/1981	0	0	0	0
7/6/1981	0	3.854	0	2.349
7/7/1981	0	0	0	0
7/8/1981	0	0	0	0.748
7/9/1981	0.476	3.379	9.209	0
7/10/1981	0	0	0	0
7/11/1981	0	0	0	0
7/12/1981	0	0.634	0	0
7/13/1981	0.094	0	0	0
7/14/1981	0	0	0	0
7/15/1981	0.154	0	2.612	0
7/16/1981	2.688	0	2.389	0
7/17/1981	0	0	0	0.029
7/18/1981	0	0	0	0
7/19/1981	0	0	0	0
7/20/1981	0	0	0	0
7/21/1981	0	0	0	0
7/22/1981	0	0	0	0
7/23/1981	0	0	0	0
7/24/1981	0	0	0	0
7/25/1981	0	0	0	0
7/26/1981	0	0.248	0	0
7/27/1981	0	0.035	0	0
7/28/1981	0.36	0.971	0.342	0.384
7/29/1981	0	1.447	2.642	1.871
7/30/1981	0.192	0.194	6.661	0.094
7/31/1981	0	0	0	0
8/1/1981	1.457	0	0	0.668
8/2/1981	0	1.009	0	0
8/3/1981	0.211	0.281	0	0
8/4/1981	0	1.67	0	0
8/5/1981	0.188	0	0	0
8/6/1981	0.972	0	0.38	0
