Date,Lluvia_mm,ETreal_mm,HumedadSuelo_mm,RadSolar_Wpm2,Temp_Min,Temp_Max,PresionVapor_hPa,VelViento_mps,IndicePalmer_porc,id,omm_id,nombre
1-Jan-58,165.00,1570.00,32.00,281.30,15.40,29.80,19.59,3.27,0.78,5,87349,Pilar Obs.
1-Feb-58,75.00,713.00,30.00,246.30,15.80,29.50,20.88,3.08,-0.45,5,87349,Pilar Obs.
1-Mar-58,119.00,1123.00,33.00,213.50,13.00,26.10,17.72,3.31,0.23,5,87349,Pilar Obs.
1-Apr-58,33.00,313.00,31.00,151.60,10.70,23.30,15.13,2.65,-0.46,5,87349,Pilar Obs.
1-May-58,13.00,119.00,28.00,109.80,6.10,19.80,10.86,2.91,-0.76,5,87349,Pilar Obs.
1-Jun-58,10.00,97.00,27.00,83.20,6.50,17.90,10.04,3.04,-0.88,5,87349,Pilar Obs.
1-Jul-58,17.00,162.00,25.00,96.40,8.30,21.50,10.58,3.48,-0.91,5,87349,Pilar Obs.
1-Aug-58,16.00,148.00,24.00,154.20,1.60,18.50,7.67,4.06,-0.66,5,87349,Pilar Obs.
1-Sep-58,49.00,462.00,22.00,195.70,7.30,22.80,9.70,4.61,0.02,5,87349,Pilar Obs.
1-Oct-58,37.00,348.00,21.00,230.10,12.00,24.80,12.85,3.70,-0.77,5,87349,Pilar Obs.
1-Nov-58,118.00,1120.00,20.00,240.90,13.70,27.00,15.12,4.55,0.28,5,87349,Pilar Obs.
1-Dec-58,107.00,1009.00,19.00,262.10,13.30,26.60,15.18,3.06,-0.30,5,87349,Pilar Obs.
1-Jan-59,108.00,1025.00,18.00,248.50,14.60,27.60,19.73,2.53,0.13,5,87349,Pilar Obs.
1-Feb-59,163.00,1354.00,214.00,257.70,16.20,29.40,19.83,2.76,1.57,5,87349,Pilar Obs.
1-Mar-59,98.00,969.00,173.00,202.50,12.40,25.20,16.96,2.52,1.65,5,87349,Pilar Obs.
1-Apr-59,64.00,648.00,132.00,161.80,6.80,21.20,12.40,2.68,1.96,5,87349,Pilar Obs.
1-May-59,46.00,464.00,106.00,125.70,5.30,19.10,10.91,2.42,2.62,5,87349,Pilar Obs.
1-Jun-59,31.00,311.00,82.00,90.80,3.30,17.50,9.54,2.85,2.97,5,87349,Pilar Obs.
1-Jul-59,23.00,224.00,67.00,109.10,4.20,18.30,9.23,2.48,2.92,5,87349,Pilar Obs.
1-Aug-59,39.00,372.00,57.00,120.10,3.30,18.50,7.72,2.83,3.62,5,87349,Pilar Obs.
1-Sep-59,5.00,51.00,50.00,198.80,5.70,22.20,9.80,3.60,2.54,5,87349,Pilar Obs.
1-Oct-59,43.00,412.00,45.00,217.70,9.60,24.60,12.10,3.86,1.80,5,87349,Pilar Obs.
1-Nov-59,114.00,1083.00,40.00,233.20,12.50,26.80,14.91,3.85,2.15,5,87349,Pilar Obs.
1-Dec-59,125.00,1187.00,36.00,265.90,15.00,28.60,17.77,3.12,1.94,5,87349,Pilar Obs.
1-Jan-60,119.00,1126.00,34.00,277.40,17.10,31.40,21.46,3.27,1.57,5,87349,Pilar Obs.
1-Feb-60,72.00,684.00,31.00,249.50,16.20,31.60,20.55,3.01,0.47,5,87349,Pilar Obs.
1-Mar-60,109.00,1033.00,29.00,222.50,12.10,27.40,17.26,2.39,-0.09,5,87349,Pilar Obs.
1-Apr-60,23.00,216.00,27.00,158.00,10.50,23.60,14.63,3.09,-1.72,5,87349,Pilar Obs.
1-May-60,10.00,96.00,25.00,120.50,6.00,20.80,11.16,3.18,-1.99,5,87349,Pilar Obs.
1-Jun-60,15.00,142.00,24.00,92.00,5.60,16.90,9.84,2.90,-1.80,5,87349,Pilar Obs.
1-Jul-60,30.00,289.00,23.00,120.50,2.10,16.70,8.33,3.19,-1.14,5,87349,Pilar Obs.
1-Aug-60,3.00,31.00,22.00,157.20,4.60,20.20,8.70,3.23,-1.30,5,87349,Pilar Obs.
1-Sep-60,30.00,283.00,21.00,195.00,7.30,23.10,9.40,3.63,-1.39,5,87349,Pilar Obs.
1-Oct-60,104.00,981.00,20.00,192.70,9.60,24.20,12.65,3.54,0.92,5,87349,Pilar Obs.
